Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81,Column82,Column83,Column84
Date,Time,1,2,3,4,5,7,34,48,140,219,284,323,364,684,1476,1412,1625,1353,1219,1223,1227,1230,1771,1970,6137,6111,6107,2660,2621,2571,2448,2515,2519,2759,2857,3008,3130,3281,3536,3848,4041,4266,4369,4453,4594,4983,5060,5301,5673,5829,5851,5914,5974,6064,6089,5942,5783,5637,5459,5331,5276,5279,5334,5463,5695,4424,4237,4099,3945,3753,3647,3575,3278,3048,2758,2422,1914,1037,322,47,6105,6106
4/16/13,0:00,0.0155,0.0155,0.0155,0.0155,0.0155,0.14499,0.045,0.045,0.045,0.045,0.045,0.14499,0.14499,0.14499,0.14499,0.14499,0.5169,0.21029,0.21029,0.21029,0.21029,0.21029,0.21029,0.21029,0.40385,0.40385,0.40385,0.1598,0.13377,0.13377,0.12097,0.12097,0.21141,0.067392,0.067392,0.11031,0.03502,0.038266,0.09437,0.053557,0.053557,0.053557,0.053557,0.068724,0.068724,0.068724,0.068724,0.068724,0.068724,0.068724,0.27874,0.27874,0.27874,0.27874,0.04448,0.27543,0.27543,0.15695,0.27543,0.27543,0.27543,0.27543,0.081282,0.081282,0.11052,0.35923,0.35923,0.35923,0.10715,0.10715,0.10715,0.10715,0.10715,0.10715,0.10715,0.10715,0.10715,0.10715,0.10715,0.10715,0,0
4/17/13,0:00,0.015499,0.015499,0.015499,0.015499,0.015499,0.13501,0.045004,0.045004,0.045004,0.045004,0.045004,0.13501,0.13501,0.13501,0.13501,0.13501,0.48663,0.19369,0.19369,0.19369,0.19369,0.19369,0.19369,0.19369,0.27876,0.27876,0.27876,0.20119,0.13394,0.13394,0.12327,0.12327,0.20821,0.067388,0.067388,0.11101,0.03109,0.037556,0.084116,0.05641,0.05641,0.05641,0.05641,0.031518,0.031518,0.031518,0.031518,0.031518,0.031518,0.031518,0.28836,0.28836,0.28836,0.28836,0.044477,0.23547,0.23547,0.13428,0.23547,0.23547,0.23547,0.23547,0.07725,0.07725,0.085186,0.29724,0.29724,0.29724,0.10059,0.10059,0.10059,0.10059,0.10059,0.10059,0.10059,0.10059,0.10059,0.10059,0.10059,0.10059,0,0
4/18/13,0:00,0.0155,0.0155,0.0155,0.0155,0.0155,0.14499,0.045001,0.045001,0.045001,0.045001,0.045001,0.14499,0.14499,0.14499,0.14499,0.14499,0.45764,0.17709,0.17709,0.17709,0.17709,0.17709,0.17709,0.17709,0.42544,0.42544,0.42544,0.17227,0.13248,0.13248,0.12884,0.12884,0.21247,0.067396,0.067396,0.11438,0.02867,0.035809,0.07515,0.050201,0.050201,0.050201,0.050201,0.017526,0.017526,0.017526,0.017526,0.017526,0.017526,0.017526,0.21394,0.21394,0.21394,0.21394,0.044473,0.20049,0.20049,0.11886,0.20049,0.20049,0.20049,0.20049,0.074227,0.074227,0.073297,0.2554,0.2554,0.2554,0.12779,0.12779,0.12779,0.12779,0.12779,0.12779,0.12779,0.12779,0.12779,0.12779,0.12779,0.12779,0,0
4/19/13,0:00,0.0155,0.0155,0.0155,0.0155,0.0155,0.19689,0.045001,0.045001,0.045001,0.045001,0.045001,0.19689,0.19689,0.19689,0.19689,0.19689,0.38059,0.16047,0.16047,0.16047,0.16047,0.16047,0.16047,0.16047,0.42688,0.42688,0.42688,0.14515,0.13122,0.13122,0.11678,0.11678,0.20652,0.067386,0.067386,0.12853,0.04076,0.040172,0.078838,0.043988,0.043988,0.043988,0.043988,0.023216,0.023216,0.023216,0.023216,0.023216,0.023216,0.023216,0.19624,0.19624,0.19624,0.19624,0.04448,0.17551,0.17551,0.1338,0.17551,0.17551,0.17551,0.17551,0.074227,0.074227,0.068536,0.24456,0.24456,0.24456,0.12216,0.12216,0.12216,0.12216,0.12216,0.12216,0.12216,0.12216,0.12216,0.12216,0.12216,0.12216,0,0
4/20/13,0:00,0.0155,0.0155,0.0155,0.0155,0.0155,0.1977,0.045,0.045,0.045,0.045,0.045,0.1977,0.1977,0.1977,0.1977,0.1977,0.62106,0.14385,0.14385,0.14385,0.14385,0.14385,0.14385,0.14385,0.35812,0.35812,0.35812,0.13423,0.12939,0.12939,0.11699,0.11699,0.21551,0.067393,0.067393,0.096426,0.03326,0.041258,0.082208,0.046774,0.046774,0.046774,0.046774,0.026803,0.026803,0.026803,0.026803,0.026803,0.026803,0.026803,0.22838,0.22838,0.22838,0.22838,0.044477,0.16052,0.16052,0.20468,0.16052,0.16052,0.16052,0.16052,0.071204,0.071204,0.065378,0.22907,0.22907,0.22907,0.10997,0.10997,0.10997,0.10997,0.10997,0.10997,0.10997,0.10997,0.10997,0.10997,0.10997,0.10997,0,0
4/21/13,0:00,0.015501,0.015501,0.015501,0.015501,0.015501,0.19104,0.044997,0.044997,0.044997,0.044997,0.044997,0.19104,0.19104,0.19104,0.19104,0.19104,0.55668,0.12722,0.12722,0.12722,0.12722,0.12722,0.12722,0.12722,0.38441,0.38441,0.38441,0.12445,0.12788,0.12788,0.11419,0.11419,0.20884,0.067396,0.067396,0.091139,0.02812,0.037262,0.077341,0.047341,0.047341,0.047341,0.047341,0.017223,0.017223,0.017223,0.017223,0.017223,0.017223,0.017223,0.17678,0.17678,0.17678,0.17678,0.044473,0.14553,0.14553,0.1854,0.14553,0.14553,0.14553,0.14553,0.069183,0.069183,0.063001,0.19962,0.19962,0.19962,0.093086,0.093086,0.093086,0.093086,0.093086,0.093086,0.093086,0.093086,0.093086,0.093086,0.093086,0.093086,0,0
4/22/13,0:00,0.015499,0.015499,0.015499,0.015499,0.015499,0.19539,0.045002,0.045002,0.045002,0.045002,0.045002,0.19539,0.19539,0.19539,0.19539,0.19539,0.51145,0.11061,0.11061,0.11061,0.11061,0.11061,0.11061,0.11061,0.36014,0.36014,0.36014,0.11885,0.12739,0.12739,0.10613,0.10613,0.1868,0.067397,0.067397,0.085128,0.02602,0.034955,0.072098,0.041371,0.041371,0.041371,0.041371,0.011846,0.011846,0.011846,0.011846,0.011846,0.011846,0.011846,0.14608,0.14608,0.14608,0.14608,0.04448,0.13055,0.13055,0.12849,0.13055,0.13055,0.13055,0.13055,0.067179,0.067179,0.060227,0.17018,0.17018,0.17018,0.085591,0.085591,0.085591,0.085591,0.085591,0.085591,0.085591,0.085591,0.085591,0.085591,0.085591,0.085591,0,0
4/23/13,0:00,0.015501,0.015501,0.015501,0.015501,0.015501,0.19539,0.044998,0.044998,0.044998,0.044998,0.044998,0.19539,0.19539,0.19539,0.19539,0.19539,0.46343,0.064417,0.064417,0.064417,0.064417,0.064417,0.064417,0.064417,0.20857,0.20857,0.20857,0.11656,0.12727,0.12727,0.10313,0.10313,0.17047,0.067391,0.067391,0.087319,0.02513,0.033492,0.068165,0.037775,0.037775,0.037775,0.037775,0.010622,0.010622,0.010622,0.010622,0.010622,0.010622,0.010622,0.12808,0.12808,0.12808,0.12808,0.044477,0.12054,0.12054,0.09859,0.12054,0.12054,0.12054,0.12054,0.067176,0.067176,0.057459,0.1516,0.1516,0.1516,0.080906,0.080906,0.080906,0.080906,0.080906,0.080906,0.080906,0.080906,0.080906,0.080906,0.080906,0.080906,0,0
4/24/13,0:00,0.015499,0.015499,0.015499,0.015499,0.015499,0.17866,0.044996,0.044996,0.044996,0.044996,0.044996,0.17866,0.17866,0.17866,0.17866,0.17866,0.3697,0.14112,0.14112,0.14112,0.14112,0.14112,0.14112,0.14112,0.23672,0.23672,0.23672,0.16872,0.14125,0.14125,0.10931,0.10931,0.19597,0.0674,0.0674,0.092765,0.04858,0.043245,0.0714,0.037858,0.037858,0.037858,0.037858,0.024874,0.024874,0.024874,0.024874,0.024874,0.024874,0.024874,0.12401,0.12401,0.12401,0.12401,0.044473,0.11554,0.11554,0.083831,0.11554,0.11554,0.11554,0.11554,0.071203,0.071203,0.056664,0.15624,0.15624,0.15624,0.086523,0.086523,0.086523,0.086523,0.086523,0.086523,0.086523,0.086523,0.086523,0.086523,0.086523,0.086523,0,0
4/25/13,0:00,0.0155,0.0155,0.0155,0.0155,0.0155,0.16984,0.045002,0.045002,0.045002,0.045002,0.045002,0.16984,0.16984,0.16984,0.16984,0.16984,0.32439,0.42183,0.42183,0.42183,0.42183,0.42183,0.42183,0.42183,0.5367,0.5367,0.5367,0.31139,0.14372,0.14372,0.15485,0.15485,0.26538,0.067394,0.067394,0.14738,0.04121,0.047069,0.084113,0.05641,0.05641,0.05641,0.05641,0.035933,0.035933,0.035933,0.035933,0.035933,0.035933,0.035933,0.15279,0.15279,0.15279,0.15279,0.04448,0.12055,0.12055,0.083308,0.12055,0.12055,0.12055,0.12055,0.072204,0.072204,0.059433,0.18878,0.18878,0.18878,0.10247,0.10247,0.10247,0.10247,0.10247,0.10247,0.10247,0.10247,0.10247,0.10247,0.10247,0.10247,0,0
